Player,Height,Age,Pts,Reb,Ast,GP,W-L,MIN,3P%,FG%,FT%,Or,Reb.1,Ast.1,Stl,To,Blk,Fo,Pts.1,Eff,PTS,REB,AST
Amir Saoud,1m87,31.0,24,2.7,1.7,3,1-2,26.0,43.5%,56.8%,85.7%,0.7,2.7,1.7,1.3,2.3,0,1.3,24,20.3,28.0,4.0,2.0
Sergio El Darwich,1m94,26.0,22,2,3.5,2,0-2,32.5,25%,59.3%,68.8%,1,2,3.5,3.5,2,1.5,2.5,22,22.5,25.0,3.0,6.0
Wael Arakji,1m93,28.0,19.5,2.5,2.5,2,2-0,30.5,60%,50%,84.6%,1,2.5,2.5,1.5,1,0,2.5,19.5,18.5,24.0,3.0,3.0
Mohamed Ali Haidar,2m01,32.0,16,6.3,2.5,4,4-0,26.3,30.8%,48.3%,28.6%,3.3,6.3,2.5,1.5,3.8,0.5,2.8,16,13,27.0,9.0,4.0
Hayk Gyokchyan,2m03,33.0,11.2,4.2,2.6,5,3-2,25.2,28.6%,43.1%,66.7%,1.6,4.2,2.6,0.8,1.6,0.2,1,11.2,11,21.0,9.0,5.0
Jonathan Arledge,2m08,31.0,11,2.8,0.3,4,4-0,14.3,57.1%,46.9%,83.3%,2.3,2.8,0.3,0.3,0.5,0.5,1,11,9.5,21.0,5.0,1.0
Elie Chamoun,1m89,28.0,7.5,1.5,1,2,2-0,21.0,41.7%,38.5%,-,0,1.5,1,1.5,0,0,0.5,7.5,7.5,12.0,2.0,2.0
Gerard Hadidian,2m02,27.0,7.5,4.3,0.3,4,2-2,13.3,50%,54.5%,71.4%,3,4.3,0.3,0,1.3,0,1.8,7.5,7.8,15.0,8.0,1.0
Jad Khalil,1m85,26.0,7.3,2.3,4.8,4,2-2,25.3,31.6%,27.8%,100%,0,2.3,4.8,1,0.3,0,1.5,7.3,8.5,15.0,4.0,9.0
Ali Mansour,1m85,24.0,7.2,4.2,2.8,5,3-2,19.0,50%,37.5%,75%,1.4,4.2,2.8,1.6,1.4,0,1,7.2,10,10.0,7.0,6.0
Karim Zeinoun,1m88,23.0,6.3,2.8,1.8,6,4-2,18.8,41.2%,46.9%,33.3%,0.5,2.8,1.8,1.8,0.3,0,1.2,6.3,9.3,14.0,4.0,4.0
Jean Marc Jarrouj,1m95,27.0,6,0.3,0.7,3,2-1,7.7,40%,50%,-,0,0.3,0.7,1,0.7,0,1,6,5,18.0,1.0,2.0
Karim Ezzedine,2m06,25.0,4.8,5,0.8,4,4-0,15.5,25%,53.8%,40%,2,5,0.8,0.5,1.3,0.5,2.5,4.8,7.3,8.0,6.0,2.0
Ali Mezher,1m82,28.0,3.5,2.2,3.5,6,4-2,20.2,40%,57.1%,75%,0.3,2.2,3.5,1.3,1.2,0,1.5,3.5,8.2,7.0,4.0,6.0
Marc Khoueiry,1m85,21.0,3,0.8,1.3,4,2-2,12.0,66.7%,55.6%,-,0.3,0.8,1.3,1.8,0.3,0.3,1.8,3,5.8,6.0,2.0,4.0
Omar Jamaleddine,1m95,22.0,3,4,0.5,2,2-0,8.0,33.3%,20%,50%,2.5,4,0.5,0.5,0,0.5,0.5,3,4,6.0,7.0,1.0
Gabriel Salibi,2m01,25.0,1,1,0,4,2-2,6.3,-,66.7%,0%,0.8,1,0,0.3,0.3,0,0.5,1,1.3,4.0,2.0,0.0
Naim Rabay,2m05,25.0,0,1.5,0,2,0-2,3.0,-,0%,-,0,1.5,0,0.5,0.5,0,2,0,1,0.0,2.0,0.0
Total,,,91.2,32.2,20,6,4-2,199.5,40%,46.7%,65.8%,12.8,32.2,20,12.3,11.7,2,16,91.2,100.8,,,
Opponents,,,82.7,34.8,20.5,6,-,199.8,33.8%,49.9%,75.4%,9.8,34.8,20.5,5.7,18.8,2.7,18.3,82.7,92.7,,,
Gap,,,"8,5","-2,6","-0,5",0,-,-0.4,"6,2%","-3,2%","-9,6%","3,0","-2,6","-0,5","6,6","-7,1","-0,7","-2,3","8,5","8,1",,,
